global_step,train_loss,eval_loss,precision,recall,f1_score
134,2.1552178859710693,1.9616507787620072,0.5404294803817603,0.5444711538461539,0.5424427887174029
268,0.6174240112304688,0.7657256880692677,0.8101919258769027,0.8174412393162394,0.8138004387422721
402,0.46987563371658325,0.5684718147447679,0.8604589468099217,0.8663194444444444,0.8633792506821055
536,0.3321666717529297,0.5030309400661329,0.8774406332453826,0.8882211538461539,0.8827979824794265
670,0.6590367555618286,0.4201322850664105,0.9028609447771124,0.9061164529914529,0.9044857695127642
804,0.21723982691764832,0.44261528376852516,0.898717440169245,0.9077190170940171,0.903195800943459
938,0.11111266165971756,0.3763202442334289,0.917910447761194,0.9198717948717948,0.9188900747065101
1000,0.11426924169063568,0.39408490079891895,0.9191744340878828,0.921875,0.9205227363648486
1072,0.22480443120002747,0.40622900883807284,0.9110756123535676,0.9139957264957265,0.9125333333333334
1206,0.20417049527168274,0.4358317146275555,0.9154314452091054,0.9237446581196581,0.9195692634937516
1340,0.05459504947066307,0.44869220213123917,0.9119246584427643,0.9181356837606838,0.9150196313302722
1474,0.22505702078342438,0.45623762317133687,0.9146988591138233,0.9208066239316239,0.9177425795288168
1608,0.5035201907157898,0.43039642132208805,0.9192282102461743,0.9225427350427351,0.920882490168633
1742,0.07378799468278885,0.4567949677759831,0.9181745609366685,0.921607905982906,0.9198880298587043
1876,0.04506279155611992,0.46204229052368123,0.9200691581327304,0.9238782051282052,0.9219697474511894
2000,0.13992469012737274,0.4991379488482082,0.9159151193633952,0.9222756410256411,0.9190843758317807
2010,0.027861546725034714,0.48289305128289006,0.9210386151797603,0.9237446581196581,0.9223896519535938
