global_step,train_loss,eval_loss,precision,recall,f1_score
134,2.311267614364624,2.140627145239737,0.4954813359528487,0.5052083333333334,0.500297560007935
268,0.7580073475837708,0.8831552296085695,0.7751713231418028,0.7855235042735043,0.780313080392677
402,0.6817972660064697,0.6336809967735172,0.8418967111345925,0.8512286324786325,0.8465369546450627
536,0.4669111669063568,0.5398218626799309,0.8684592065374983,0.8799412393162394,0.8741625207296849
670,0.5064544081687927,0.4590523062784851,0.892899800928998,0.8985042735042735,0.8956932703188445
804,0.5792058706283569,0.4428106083378064,0.8978480340063762,0.9026442307692307,0.9002397442727758
938,0.15886913239955902,0.45507536533461734,0.9043650793650794,0.9130608974358975,0.9086921850079746
1000,0.1163056492805481,0.40749634833660275,0.910918774966711,0.9135950854700855,0.9122549673289772
1072,0.11404252052307129,0.4158669284553127,0.9127883717829044,0.9141292735042735,0.9134583305531461
1206,0.02677559293806553,0.4201755045904918,0.9146957214988042,0.9193376068376068,0.9170107899293992
1340,0.2745468020439148,0.434275742451273,0.9144370860927152,0.9220085470085471,0.918207208405373
