global_step,train_loss,eval_loss,precision,recall,f1_score
134,3.0029046535491943,2.8399483841077418,0.43027142666131835,0.42975427350427353,0.43001269459477515
268,1.4664366245269775,1.1765632624119784,0.73903828321632,0.7450587606837606,0.7420363104342621
402,0.9236968159675598,0.7234217348483811,0.8309127248500999,0.8327991452991453,0.8318548656039485
536,0.3842417299747467,0.5736482248897046,0.8611667334134294,0.8615117521367521,0.8613392082248481
670,0.7055136561393738,0.5140573576224589,0.8761663556384964,0.8778044871794872,0.8769846564376251
804,0.3085997700691223,0.4706694528427535,0.888004246284501,0.8936965811965812,0.8908413205537807
938,0.7550173997879028,0.9069058217965396,0.7534809706935419,0.7588141025641025,0.7561381329429769
1000,0.6906717419624329,0.8264174907080895,0.7737177783683231,0.7776442307692307,0.7756760357000132
1072,0.8865324854850769,0.7755850756590346,0.7622555585320118,0.7600160256410257,0.7611341447104454
1206,0.8952736854553223,0.7177067153749213,0.7738666666666667,0.7751068376068376,0.7744862556712037
1340,0.8773157596588135,0.7041258874588308,0.7803968571048076,0.7825854700854701,0.7814896312595851
